id_13_team_0_x,id_13_team_0_y,id_10_team_0_x,id_10_team_0_y,id_2_team_0_x,id_2_team_0_y,id_4_team_0_x,id_4_team_0_y,id_16_team_0_x,id_16_team_0_y,id_281_team_0_x,id_281_team_0_y,id_5_team_0_x,id_5_team_0_y,id_1_team_0_x,id_1_team_0_y,id_45_team_0_x,id_45_team_0_y,id_20_team_0_x,id_20_team_0_y,id_17_team_0_x,id_17_team_0_y,id_22_team_1_x,id_22_team_1_y,id_14_team_1_x,id_14_team_1_y,id_11_team_1_x,id_11_team_1_y,id_3_team_1_x,id_3_team_1_y,id_9_team_1_x,id_9_team_1_y,id_6_team_1_x,id_6_team_1_y,id_12_team_1_x,id_12_team_1_y,id_8_team_1_x,id_8_team_1_y,id_15_team_1_x,id_15_team_1_y,id_7_team_1_x,id_7_team_1_y,id_18_team_1_x,id_18_team_1_y,ball_x,ball_y
6641.7,3754.83,6369.47,2542.27,5745.89,4463.19,4306.04,4110.15,4270.21,2860.862,9375.74,3115.76,6345.31,5182.86,4403.93,5536.61,5519.75,1824.08,2629.36,1665.28,5545.21,2572.69,724.8,2851.43,1268.32,2491.6,2239.19,4999.95,3823.78,5667.21,2730.58,1282.23,3838.88,4227.44,4271.09,2900.0,5565.52,4477.53,5948.36,1974.81,6152.35,5930.59,6481.29,3691.44,1439.74,3849.26
6649.12,3749.08,6374.38,2537.84,5766.08,4438.78,4281.79,4115.32,4295.66,2893.076,9375.74,3115.76,6359.43,5169.18,4422.39,5536.69,5519.75,1824.08,2661.46,1679.91,5541.68,2585.24,746.95,2849.72,1291.58,2489.07,2241.61,4981.79,3844.48,5667.54,2765.46,1275.77,3818.65,4221.8,4305.96,2919.18,5579.23,4463.08,5963.79,1937.04,6164.08,5936.72,6484.5,3667.7,1580.91,3992.37
6659.15,3749.19,6388.46,2470.29,5788.12,4422.04,4264.36,4139.86,4321.11,2925.29,9375.74,3115.76,6378.31,5191.46,4437.8,5535.15,5519.75,1824.08,2683.48,1751.52,5542.23,2632.43,780.83,2935.45,1296.89,2508.17,2242.68,4987.79,3852.18,5676.16,2790.64,1285.44,3789.44,4219.67,4321.11,2925.29,5592.01,4449.17,5975.58,1890.46,6173.67,5969.33,6481.85,3652.12,1707.8,4159.2
6668.57,3746.99,6392.58,2450.9,5792.71,4430.28,4209.14,4153.99,4340.96,2946.05,9375.74,3115.76,6390.74,5208.93,4450.87,5539.18,5519.75,1824.08,2688.88,1766.49,5539.53,2642.97,802.6,2984.61,1321.3,2521.38,2231.57,4962.13,3849.42,5684.05,2803.4,1298.94,3745.16,4188.94,4340.96,2946.05,5606.74,4421.45,5992.23,1863.14,6184.72,5974.35,6481.8,3642.14,1797.02,4273.1
6661.13,3755.63,6376.56,2465.93,5789.28,4425.2,4171.39,4160.97,4346.52,2946.47,9375.74,3115.76,6388.27,5224.14,4446.32,5543.48,5519.75,1824.08,2706.54,1783.59,5515.83,2669.67,811.31,3022.36,1330.0,2511.03,2240.19,4949.07,3837.36,5694.99,2828.0,1319.64,3704.23,4184.39,4346.52,2946.47,5605.83,4389.78,5994.09,1843.58,6181.96,5977.17,6473.66,3640.92,1856.03,4354.0
6639.27,3743.02,6356.89,2413.75,5801.28,4413.94,4164.28,4171.47,4366.35,2970.44,9375.74,3115.76,6392.74,5220.84,4461.57,5527.28,5519.75,1824.08,2730.77,1804.49,5500.04,2686.12,830.65,3059.38,1364.23,2528.67,2255.65,4938.69,3845.0,5696.08,2860.96,1341.37,3699.75,4185.39,4366.35,2970.44,5609.73,4364.66,5990.57,1813.23,6176.77,5998.1,6451.1,3629.14,1940.26,4441.65
6643.37,3752.18,6359.81,2393.1,5822.63,4417.8,4137.2,4183.58,4380.82,2986.0,9375.74,3115.76,6408.77,5252.8,4486.6,5521.77,5519.75,1824.08,2745.84,1826.5,5491.75,2694.69,843.46,3093.04,1392.62,2526.24,2262.5,4928.98,3836.76,5704.46,2876.73,1344.49,3648.34,4160.07,4380.82,2986.0,5620.33,4345.25,6015.69,1814.3,6188.29,6009.92,6450.97,3638.7,2001.54,4517.71
6631.25,3761.09,6356.54,2425.46,5831.48,4425.36,4120.26,4202.6,4394.5,3005.01,9375.74,3115.76,6404.23,5279.03,4500.78,5525.25,5519.75,1824.08,2769.07,1882.73,5478.19,2752.15,858.07,3133.34,1420.09,2534.51,2270.78,4922.37,3820.77,5713.17,2895.49,1343.52,3621.39,4169.58,4394.5,3005.01,5618.91,4363.52,6032.74,1811.61,6187.29,6013.48,6445.35,3664.71,2059.4166666666665,4586.2733333333335
6628.8,3761.32,6334.58,2411.02,5834.54,4426.52,4106.53,4219.02,4411.73,3013.8,9375.74,3115.76,6410.8,5280.61,4509.78,5527.06,5519.75,1824.08,2802.29,1950.7,5474.13,2803.66,905.51,3227.8,1461.36,2546.6,2300.03,4930.48,3828.69,5754.2,2933.09,1373.43,3587.6,4148.97,4411.73,3013.8,5620.12,4330.99,6041.35,1751.77,6194.24,6041.17,6450.38,3662.85,2117.2933333333335,4654.836666666667
6624.41,3756.32,6344.53,2402.85,5839.24,4411.53,4082.98,4250.83,4429.03,3044.81,9375.74,3115.76,6409.46,5313.4,4532.65,5523.24,5519.75,1824.08,2798.58,1942.46,5468.75,2785.78,924.51,3313.68,1470.12,2554.01,2297.13,4928.36,3810.06,5756.09,2937.39,1362.15,3539.18,4134.87,4429.03,3044.81,5621.16,4290.81,6051.45,1743.24,6202.54,6044.24,6452.61,3666.11,2175.17,4723.4
6615.72,3757.46,6351.72,2386.09,5845.48,4400.2,4062.74,4263.36,4455.3,3064.58,9375.74,3115.76,6412.12,5334.8,4555.52,5520.34,5519.75,1824.08,2832.36,2015.01,5467.23,2811.72,957.8,3355.58,1517.25,2565.56,2307.52,4931.21,3792.8,5756.46,2960.83,1383.8,3494.63,4099.6,4455.3,3064.58,5620.91,4280.43,6063.53,1723.38,6225.95,6046.4,6452.27,3664.98,2233.0466666666666,4791.963333333333
6599.76,3777.46,6355.2,2369.42,5842.12,4394.88,4055.48,4270.81,4481.57,3086.08,9375.74,3115.76,6413.84,5336.29,4557.54,5515.35,5519.75,1824.08,2839.74,2030.2,5460.99,2845.77,946.61,3373.74,1543.19,2567.27,2304.33,4929.01,3772.96,5760.73,2989.43,1400.87,3436.58,4107.36,4481.57,3086.08,5613.12,4257.78,6071.01,1703.06,6235.01,6065.35,6445.76,3702.09,2290.9233333333336,4860.526666666667
6597.66,3775.99,6374.61,2385.36,5841.15,4401.37,4055.55,4294.67,4488.74,3115.44,9375.74,3115.76,6416.27,5358.83,4569.67,5516.13,5519.75,1824.08,2855.81,2066.57,5458.0,2852.07,975.16,3430.5,1564.92,2563.88,2307.76,4939.26,3769.86,5776.91,3007.62,1399.24,3383.46,4079.14,4488.74,3115.44,5606.58,4221.33,6105.56,1701.11,6239.02,6090.79,6452.16,3726.8,2348.8,4929.09
6583.49,3783.24,6371.9,2381.92,5828.97,4372.91,4040.86,4300.19,4473.73,3151.51,9375.74,3115.76,6411.25,5384.56,4583.33,5509.95,5519.75,1824.08,2862.91,2093.21,5452.07,2887.22,959.28,3438.05,1592.66,2565.01,2322.16,4935.36,3747.8,5785.71,3022.19,1408.43,3342.03,4080.59,4473.73,3151.51,5594.94,4217.47,6109.14,1696.46,6238.11,6081.33,6451.9,3730.88,2370.42,4955.736
6589.22,3775.24,6382.8,2365.22,5832.65,4383.39,4050.18,4328.19,4513.8,3167.05,9375.74,3115.76,6416.01,5395.27,4601.88,5509.68,5519.75,1824.08,2889.74,2137.37,5454.07,2950.89,1019.67,3526.13,1651.27,2582.1,2346.05,4948.46,3744.04,5822.3,3063.8,1435.79,3288.38,4070.16,4513.8,3167.05,5592.54,4202.71,6127.84,1657.31,6264.39,6086.63,6467.42,3729.52,2392.04,4982.382
6594.66,3775.42,6398.52,2362.14,5830.2,4392.44,4036.39,4338.58,4419.91,3161.01,9375.74,3115.76,6416.99,5401.86,4607.85,5511.64,5519.75,1824.08,2917.08,2202.46,5447.78,2939.1,1033.62,3548.66,1661.0,2577.55,2362.73,4966.66,3728.12,5821.45,3079.72,1452.32,3246.86,4076.49,4419.91,3161.01,5582.88,4159.9,6155.9,1651.05,6274.1,6113.49,6474.4,3767.08,2413.6600000000003,5009.028
6640.51,3826.55,6439.42,2354.26,5862.36,4394.64,4052.49,4396.93,4431.09,3128.12,9375.74,3115.76,6469.76,5511.48,4643.3,5615.71,5519.75,1824.08,2953.72,2155.78,5479.56,2961.76,972.56,3534.8,1692.71,2500.62,2330.54,5020.19,3716.98,5964.11,3142.42,1368.75,3191.23,4084.6,4431.09,3128.12,5626.47,4198.84,6206.67,1626.93,6345.95,6254.88,6521.02,3816.99,2435.28,5035.674
6645.0,3830.59,6446.76,2363.37,5858.29,4366.53,4047.04,4409.12,4426.18,3169.27,9375.74,3115.76,6478.62,5505.33,4657.25,5612.64,5519.75,1824.08,2987.57,2204.76,5476.23,2973.41,1009.91,3592.87,1740.83,2493.07,2364.78,5016.01,3714.22,5968.03,3183.0,1382.85,3156.64,4070.69,4426.18,3169.27,5629.36,4195.73,6222.93,1621.05,6370.61,6249.23,6528.14,3811.05,2456.9,5062.32
6651.14,3823.27,6449.81,2365.89,5838.2,4373.58,4005.7,4397.31,4383.29,3179.11,9375.74,3115.76,6471.16,5527.17,4651.33,5612.53,5519.75,1824.08,2994.6,2220.97,5449.24,2994.4,1003.82,3590.06,1755.19,2488.4,2369.92,5009.65,3692.44,5982.79,3203.48,1400.16,3091.22,4071.63,4383.29,3179.11,5614.73,4153.44,6247.78,1601.64,6365.19,6274.12,6526.02,3815.09,2446.52,5050.07
6663.46,3851.39,6462.01,2377.73,5831.07,4340.39,3981.03,4397.43,4356.22,3191.81,9375.74,3115.76,6475.0,5531.15,4648.72,5619.59,5519.75,1824.08,3024.29,2255.45,5436.79,3033.34,1025.05,3596.75,1775.44,2447.12,2361.59,4971.41,3668.05,5986.94,3227.4,1402.93,3050.21,4059.05,4356.22,3191.81,5606.99,4125.81,6266.63,1580.17,6374.98,6290.84,6525.88,3846.16,2511.4300000000003,4970.049999999999
6662.85,3860.87,6456.87,2369.23,5820.05,4322.99,3965.13,4416.97,4321.61,3233.04,9375.74,3115.76,6487.36,5491.1,4670.58,5608.61,5519.75,1824.08,3040.41,2331.54,5396.54,3059.78,1115.57,3736.36,1838.18,2516.02,2422.37,4969.33,3695.19,5988.99,3239.17,1461.38,3031.81,4120.76,4321.61,3233.04,5605.3,4129.81,6260.49,1573.7,6399.99,6242.91,6521.69,3868.45,2576.34,4890.03
6664.55,3873.31,6469.01,2351.34,5812.93,4319.45,3925.97,4426.83,4301.59,3301.63,9375.74,3115.76,6506.12,5491.36,4669.4,5615.91,5519.75,1824.08,3061.8,2374.55,5379.1,3101.18,1113.07,3730.32,1871.91,2520.41,2429.1,4976.55,3682.92,6011.92,3243.05,1434.48,2977.83,4095.29,4301.59,3301.63,5595.54,4086.32,6272.45,1534.71,6417.54,6249.4,6525.57,3870.68,2620.85,4744.03
6672.28,3891.61,6494.5,2360.73,5792.86,4292.92,3863.72,4415.74,4269.71,3280.75,9375.74,3115.76,6511.0,5542.68,4626.16,5660.57,5519.75,1824.08,3076.81,2347.0,5347.78,3122.33,1042.24,3680.59,1853.18,2386.95,2383.46,4988.55,3614.42,6064.98,3283.69,1387.32,2886.54,4064.98,4269.71,3280.75,5587.01,4084.81,6307.15,1539.96,6411.92,6337.96,6530.87,3916.17,2606.1,4607.19
6681.94,3891.86,6510.86,2358.9,5786.44,4276.57,3808.16,4425.5,4242.34,3324.21,9375.74,3115.76,6519.17,5540.39,4612.23,5660.62,5519.75,1824.08,3087.35,2338.67,5319.04,3141.23,1042.59,3716.55,1878.37,2391.79,2403.83,5027.38,3596.36,6076.79,3312.98,1436.6,2831.88,4072.09,4242.34,3324.21,5584.99,4085.56,6327.82,1552.88,6420.15,6341.73,6539.78,3944.93,2634.11,4494.42
6684.41,3898.65,6521.06,2369.54,5768.49,4275.0,3756.67,4391.4,4237.49,3365.6,9375.74,3115.76,6528.19,5531.84,4594.63,5663.19,5519.75,1824.08,3118.47,2352.13,5297.86,3176.5,1036.9,3721.09,1901.17,2366.65,2409.71,5025.86,3573.23,6070.47,3339.11,1440.69,2778.51,4052.71,4237.49,3365.6,5584.56,4058.93,6360.0,1529.75,6440.02,6333.72,6542.53,3941.54,2661.93,4400.23
6677.21,3925.44,6536.87,2394.7,5760.95,4251.05,3706.9,4395.27,4223.85,3400.22,9375.74,3115.76,6534.99,5541.79,4586.36,5668.94,5519.75,1824.08,3132.79,2366.8,5256.76,3195.1,984.5,3709.56,1898.33,2324.7,2418.89,5020.48,3570.78,6082.57,3345.39,1417.51,2747.49,4071.31,4223.85,3400.22,5573.58,4042.36,6387.71,1518.98,6451.04,6338.93,6538.31,3967.02,2690.57,4323.33
6677.16,3935.94,6552.54,2405.41,5747.01,4234.42,3653.58,4379.7,4211.35,3423.49,9375.74,3115.76,6545.89,5547.59,4559.76,5672.9,5519.75,1824.08,3158.6,2371.9,5217.69,3225.72,962.22,3746.18,1895.65,2277.64,2430.49,5018.57,3558.93,6093.61,3361.6,1429.02,2706.39,4083.78,4211.35,3423.49,5563.26,4032.87,6414.76,1530.71,6461.62,6361.52,6537.73,4024.31,2685.3745454545456,4281.717272727273
6666.95,3935.09,6548.97,2388.91,5741.48,4226.21,3613.25,4363.21,4189.95,3444.99,9375.74,3115.76,6545.06,5551.62,4543.74,5682.12,5519.75,1824.08,3186.35,2389.97,5167.55,3250.02,962.6,3759.39,1931.84,2280.03,2463.87,5041.65,3561.95,6101.88,3363.42,1392.22,2697.92,4082.28,4189.95,3444.99,5551.44,4005.55,6425.03,1491.65,6462.92,6368.67,6533.14,4013.29,2680.179090909091,4240.104545454546
6660.24,3939.77,6551.43,2397.88,5732.58,4171.85,3556.07,4328.73,4176.92,3473.62,9375.74,3115.76,6543.76,5549.11,4519.66,5675.28,5519.75,1824.08,3210.99,2404.17,5148.33,3344.46,918.57,3760.11,1931.82,2240.93,2468.25,5042.32,3537.79,6092.75,3364.65,1377.24,2684.83,4072.7700000000004,4176.92,3473.62,5540.59,3988.56,6437.2,1485.6,6469.49,6361.38,6528.44,4054.12,2674.9836363636364,4198.491818181818
6649.77,3952.42,6554.99,2383.31,5724.54,4137.37,3492.84,4303.76,4167.77,3478.65,9375.74,3115.76,6546.52,5544.39,4510.57,5675.81,5519.75,1824.08,3235.37,2384.86,5105.73,3355.61,888.9,3786.94,1928.25,2206.18,2477.49,5037.11,3539.79,6118.88,3369.25,1377.52,2671.74,4063.26,4167.77,3478.65,5530.25,3962.36,6452.46,1482.7,6482.04,6360.18,6523.96,4065.42,2669.788181818182,4156.879090909091
6629.85,3967.35,6555.8,2393.8,5713.84,4119.78,3451.49,4274.95,4172.43,3511.12,9375.74,3115.76,6543.69,5558.77,4499.37,5676.84,5513.26,1834.59,3268.39,2403.28,5085.24,3393.58,903.6,3817.93,1959.67,2187.67,2518.97,5051.23,3562.98,6154.62,3361.83,1344.19,2651.9,4023.44,4172.43,3511.12,5524.19,3972.71,6465.55,1455.65,6485.26,6360.99,6514.37,4077.73,2664.592727272727,4115.266363636364
6623.4,3970.31,6560.1,2408.35,5709.54,4118.46,3370.77,4236.25,4178.04,3527.26,9375.74,3115.76,6544.31,5560.88,4482.18,5680.71,5493.52,1802.26,3281.04,2391.07,5041.115,3432.73,883.76,3816.43,1958.55,2174.29,2523.4,5044.4,3560.35,6163.18,3362.13,1336.47,2637.84,3987.04,4178.04,3527.26,5515.89,3950.86,6494.07,1434.9,6489.82,6362.75,6503.53,4117.91,2659.397272727273,4073.6536363636365
6586.14,3987.93,6545.11,2411.61,5687.15,4049.49,3305.63,4197.77,4185.5,3512.35,9375.74,3115.76,6523.65,5551.61,4470.75,5669.7,5449.42,1803.72,3326.885,2355.76,4996.99,3471.88,872.69,3786.05,1971.33,2125.53,2543.95,5026.11,3560.02,6143.85,3349.46,1255.49,2609.19,3932.56,4185.5,3512.35,5495.95,3949.08,6491.47,1417.45,6476.54,6361.04,6474.52,4150.81,2654.2018181818185,4032.0409090909093
6555.25,3999.83,6544.5,2387.37,5676.93,4015.37,3238.35,4165.48,4194.31,3511.34,9375.74,3115.76,6516.85,5542.04,4461.49,5646.51,5437.31,1790.38,3372.73,2320.45,4952.87,3494.95,845.46,3772.31,1976.06,2083.16,2571.42,5018.41,3566.95,6142.47,3352.82,1232.31,2571.91,3874.27,4194.31,3511.34,5484.42,3913.11,6491.25,1385.24,6476.23,6359.03,6467.1,4157.51,2649.006363636364,3990.4281818181817
6553.6,3999.44,6535.69,2371.72,5665.57,3986.7,3147.09,4113.64,4203.04,3533.2,9375.74,3115.76,6505.22,5535.28,4449.14,5616.38,5402.43,1775.38,3402.81,2312.17,4924.08,3523.26,848.12,3785.14,1990.54,2077.69,2597.62,5012.87,3584.81,6146.68,3349.37,1207.55,2552.84,3837.82,4203.04,3533.2,5476.71,3903.24,6494.52,1380.4,6483.89,6356.34,6445.67,4152.67,2643.8109090909093,3948.8154545454545
6541.26,3991.99,6517.16,2360.33,5658.58,3970.85,3122.75,4108.44,4202.44,3503.87,9375.74,3115.76,6493.78,5528.38,4455.41,5625.79,5370.6,1733.27,3403.73,2254.08,4877.77,3550.53,834.03,3794.92,1959.21,2041.33,2605.83,5018.3,3599.78,6146.2,3329.58,1159.12,2535.98,3803.91,4202.44,3503.87,5464.66,3856.56,6492.3,1346.17,6494.27,6349.32,6435.81,4136.46,2638.6154545454547,3907.2027272727273
6533.15,3995.11,6512.95,2349.75,5655.63,3950.0,3059.86,4089.07,4198.71,3461.28,9375.74,3115.76,6491.76,5521.2,4443.94,5607.86,5357.99,1716.99,3437.29,2205.39,4840.12,3579.22,824.22,3795.56,1950.03,2009.93,2632.81,5040.43,3620.495,6209.32,3326.9,1128.88,2528.65,3768.44,4198.71,3461.28,5460.23,3866.65,6501.35,1329.86,6483.73,6352.31,6420.11,4140.79,2633.42,3865.59
6431.22,4010.12,6406.79,2309.74,5588.89,3929.93,3050.26,4142.48,4196.64,3468.45,9375.74,3115.76,6421.19,5568.68,4401.77,5633.52,5282.71,1686.83,3474.09,2179.77,4769.98,3635.63,876.27,3783.71,2019.69,1981.49,2662.03,5084.24,3641.21,6272.44,3358.26,1064.12,2561.89,3783.04,4196.64,3468.45,5401.4,3864.55,6394.88,1284.95,6421.33,6457.13,6314.26,4180.52,2668.13,3841.7
6417.31,4015.91,6383.65,2322.83,5566.48,3890.09,3036.07,4156.38,4202.63,3446.3999999999996,9375.74,3115.76,6398.46,5565.84,4400.6,5638.19,5251.12,1690.91,3467.38,2151.07,4722.12,3660.1,861.165,3787.8450000000003,1996.62,1975.54,2673.06,5105.73,3672.7233333333334,6233.8966666666665,3350.19,1047.28,2562.365,3706.265,4202.63,3446.3999999999996,5385.86,3844.81,6383.7,1281.18,6410.5,6431.58,6291.13,4188.79,2658.02,3761.25
6496.2,4000.07,6472.47,2330.57,5617.47,3868.9,2976.09,4047.31,4208.62,3424.35,9375.74,3115.76,6461.01,5508.78,4422.62,5553.92,5281.9,1693.56,3457.37,2161.61,4726.12,3720.61,846.06,3791.98,1942.71,1997.93,2693.2,5052.14,3704.2366666666667,6195.3533333333335,3342.59,1101.05,2562.84,3629.49,4208.62,3424.35,5431.94,3814.03,6483.19,1269.05,6468.58,6308.63,6349.15,4190.73,2709.3157142857144,3702.1985714285715
6483.04,4008.52,6461.38,2309.57,5606.85,3877.42,2966.87,3993.8166666666666,4214.610000000001,3402.2999999999997,9375.74,3115.76,6448.3,5518.42,4408.11,5523.02,5253.39,1703.96,3447.55,2171.49,4665.69,3752.22,838.12,3789.54,1929.04,1990.08,2702.41,5045.48,3735.75,6156.81,3315.75,1045.13,2631.8018181818184,3556.151818181818,4214.610000000001,3402.2999999999997,5417.66,3823.55,6480.13,1236.23,6454.78,6308.4,6321.91,4184.05,2760.6114285714284,3643.1471428571426
6459.38,4028.21,6440.12,2324.09,5602.28,3865.15,2957.65,3940.3233333333333,4220.6,3380.25,9375.74,3115.76,6442.84,5512.95,4399.53,5507.95,5215.12,1725.76,3441.22,2119.46,4632.49,3792.95,830.39,3796.53,1915.98,1994.88,2709.73,5045.12,3746.76,6151.26,3304.16,1023.77,2700.7636363636366,3482.8136363636363,4220.6,3380.25,5401.21,3813.96,6471.66,1250.65,6440.94,6303.2,6304.55,4201.79,2811.907142857143,3584.095714285714
6443.44,4023.52,6407.74,2319.74,5582.0,3841.43,2948.43,3886.83,4226.59,3358.2,9375.74,3115.76,6437.85,5482.01,4396.42,5495.33,5194.94,1737.11,3458.9,2092.69,4578.1,3799.13,841.61,3810.39,1907.17,1974.1,2716.58,5050.14,3790.07,6152.47,3292.08,1017.91,2769.725454545455,3409.4754545454543,4226.59,3358.2,5388.14,3788.25,6453.19,1239.98,6432.84,6286.89,6271.79,4192.3,2863.2028571428573,3525.0442857142857
